date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:06%20GMT	https://asbl.in/spectra/specifications/buildings?scroll=ev-charging-point&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings71ff	(from https://asbl.in/spectra/specifications/buildings/)
16:34:07	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=finishes&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index702b.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:07	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Nov%202023%2011:04:07%20GMT	https://asbl.in/spectra/media?scroll=project-cards&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/media601c	(from https://asbl.in/spectra/media/)
16:34:09	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=piped-gas&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index577a.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:09	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=dg-backup&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index65e1.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:09	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=bathroom-ventilators&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index6bb1.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:10	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=tv&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index464f.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:11	217312/217312	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da8-350e0%22	https://asbl.in/spectra/specifications/flats/?scroll=utility-building&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/flats/index39d8.html	(from https://asbl.in/spectra/specifications/flats/)
16:34:11	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=project-cards&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/index601c.html	(from https://asbl.in/spectra/specifications/buildings/)
16:34:11	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=parking&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/index64e3.html	(from https://asbl.in/spectra/specifications/buildings/)
16:34:12	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=lifts&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/index16a6.html	(from https://asbl.in/spectra/specifications/buildings/)
16:34:13	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=dg-backup&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/index65e1.html	(from https://asbl.in/spectra/specifications/buildings/)
16:34:13	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=structure&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/indexbe05.html	(from https://asbl.in/spectra/specifications/buildings/)
16:34:14	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=flooring&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/indexa14a.html	(from https://asbl.in/spectra/specifications/buildings/)
16:34:14	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=external-finishes&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/index2cb5.html	(from https://asbl.in/spectra/specifications/buildings/)
16:34:15	207325/207325	---MCZ	200	added ('OK')	text/html	etag:W/%2265607da9-329dd%22	https://asbl.in/spectra/specifications/buildings/?scroll=security&token=0	E:/websitecloning/Asblspectra/asbl.in/spectra/specifications/buildings/indexe1a1.html	(from https://asbl.in/spectra/specifications/buildings/)
